"Nazwa beneficjenta pomocy";"NIP beneficjenta";"Podmiot udzielaj¹cy pomocy";"Ustawa";"Numer œrodka pomocowego";"Dzieñ udzielenia pomocy";"Wielkoœæ beneficjenta";"Identyfikator terytorialny siedziby beneficjenta";"Klasa PKD";"Wartoœæ nominalna pomocy [PLN]";"Wartoœæ pomocy brutto [PLN]";"Wartoœæ pomocy brutto [EURO]";"Forma pomocy";"Przeznaczenie pomocy"
"BUZIL POLSKA SP.Z O.O.";"1010000568";"Prezes Zak³adu Ubezpieczeñ Spo³ecznych";"ustawa z dnia 2 marca 2020 r. o szczególnych rozwi¹zaniach zwi¹zanych z zapobieganiem, przeciwdzia³aniem i zwalczaniem COVID-19, innych chorób zakaŸnych oraz wywo³anych nimi sytuacji kryzysowych";"SA.56922(2020/N)";"30.05.2020";"mikroprzedsiêbiorstwo";"0200000";"46.73";"35 939,60";"35 939,60";"8 075,77";"zwolnienie z op³aty";"pomoc rekompensuj¹ca negatywne konsekwencje ekonomiczne zwi¹zane z COVID-19, udzielana w ramach limitu 800 tys. euro / 1,8 mln euro na przedsiêbiorcê"
"BUZIL POLSKA SP.Z O.O.";"1010000568";"Prezes Zak³adu Ubezpieczeñ Spo³ecznych";"ustawa z dnia 2 marca 2020 r. o szczególnych rozwi¹zaniach zwi¹zanych z zapobieganiem, przeciwdzia³aniem i zwalczaniem COVID-19, innych chorób zakaŸnych oraz wywo³anych nimi sytuacji kryzysowych";"SA.56922(2020/N)";"30.05.2020";"mikroprzedsiêbiorstwo";"0200000";"46.73";"26 802,97";"26 802,97";"6 022,73";"zwolnienie z op³aty";"pomoc rekompensuj¹ca negatywne konsekwencje ekonomiczne zwi¹zane z COVID-19, udzielana w ramach limitu 800 tys. euro / 1,8 mln euro na przedsiêbiorcê"
"BUZIL POLSKA SP.Z O.O.";"1010000568";"Prezes Zak³adu Ubezpieczeñ Spo³ecznych";"ustawa z dnia 2 marca 2020 r. o szczególnych rozwi¹zaniach zwi¹zanych z zapobieganiem, przeciwdzia³aniem i zwalczaniem COVID-19, innych chorób zakaŸnych oraz wywo³anych nimi sytuacji kryzysowych";"SA.56922(2020/N)";"20.09.2020";"mikroprzedsiêbiorstwo";"0200000";"46.73";"27 166,56";"27 166,56";"6 094,71";"zwolnienie z op³aty";"pomoc rekompensuj¹ca negatywne konsekwencje ekonomiczne zwi¹zane z COVID-19, udzielana w ramach limitu 800 tys. euro / 1,8 mln euro na przedsiêbiorcê"
"BRIDGESTONE  DIVERS";"1010000574";"BURMISTRZ MIASTA ¯ARÓW";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"N 625/2005";"15.01.2007";"du¿y przedsiêbiorca";"0219083";"25.11";"205 464,00";"205 464,00";"53 053,09";"zwolnienie z podatku";"regionalna pomoc na wspieranie nowych inwestycji"
"BRIDGESTONE DIVERSIFIED POLAND";"1010000574";"BURMISTRZ MIASTA ¯ARÓW";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"XR185/2007";"20.03.2013";"œredni przedsiêbiorca";"0219083";"22.19";"404 580,46";"404 580,46";"97 400,08";"zwolnienie z podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE Spó³ka z o.o.";"1010000574";"BURMISTRZ MIASTA ¯ARÓW";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"XR185/2007";"31.01.2014";"œredni przedsiêbiorca";"0219083";"22.19";"408 493,40";"408 493,40";"96 415,55";"zwolnienie z podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE";"1010000574";"BURMISTRZ MIASTA ¯ARÓW";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"XR185/2007";"31.01.2015";"œredni przedsiêbiorca";"0219083";"22.19";"68 082,23";"68 082,23";"16 178,85";"zwolnienie z podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"DOLNOŒL¥SKI URZ¥D SKARBOWY WE WROC£AWIU";"ustawa z dnia 15 lutego 1992 r. o podatku dochodowym od osób prawnych";"XR98/2007";"31.03.2015";"du¿y przedsiêbiorca";"0219083";"22.19";"3 643 076,10";"692 184,00";"169 279,64";"obni¿ka lub zmniejszenie, powoduj¹ce obni¿enie podstawy opodatkowania lub wysokoœci podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"DOLNOŒL¥SKI URZ¥D SKARBOWY WE WROC£AWIU";"ustawa z dnia 15 lutego 1992 r. o podatku dochodowym od osób prawnych";"XR98/2007";"31.03.2015";"du¿y przedsiêbiorca";"0219083";"22.19";"3 643 076,10";"692 184,00";"169 279,52";"obni¿ka lub zmniejszenie, powoduj¹ce obni¿enie podstawy opodatkowania lub wysokoœci podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"DOLNOŒL¥SKI URZ¥D SKARBOWY WE WROC£AWIU";"ustawa z dnia 15 lutego 1992 r. o podatku dochodowym od osób prawnych";"XR98/2007";"31.03.2016";"du¿y przedsiêbiorca";"0219083";"22.19";"3 809 806,03";"723 863,00";"169 586,49";"obni¿ka lub zmniejszenie, powoduj¹ce obni¿enie podstawy opodatkowania lub wysokoœci podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE";"1010000574";"BURMISTRZ MIASTA ¯ARÓW";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"XR185/2007";"31.01.2017";"œredni przedsiêbiorca";"0219083";"22.19";"402 618,16";"402 618,16";"92 966,23";"zwolnienie z podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"DOLNOŒL¥SKI URZ¥D SKARBOWY WE WROC£AWIU";"ustawa z dnia 15 lutego 1992 r. o podatku dochodowym od osób prawnych";"XR98/2007";"31.03.2017";"du¿y przedsiêbiorca";"0219083";"22.19";"4 715 194,61";"895 887,00";"212 305,56";"obni¿ka lub zmniejszenie, powoduj¹ce obni¿enie podstawy opodatkowania lub wysokoœci podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND";"1010000574";"BURMISTRZ MIASTA ¯ARÓW";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"XR185/2007";"31.01.2018";"œredni przedsiêbiorca";"0219083";"22.19";"409 604,93";"409 604,93";"98 728,53";"zwolnienie z podatku";"regionalna pomoc inwestycyjna"
"Bridgestone Diversified Products Poland";"1010000574";"BURMISTRZ MIASTA ¯ARÓW";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"XR185/2007";"31.01.2019";"œredni przedsiêbiorca";"0219083";"22.19";"415 480,17";"415 480,17";"97 070,27";"zwolnienie z podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"DOLNOŒL¥SKI URZ¥D SKARBOWY WE WROC£AWIU";"ustawa z dnia 15 lutego 1992 r. o podatku dochodowym od osób prawnych";"PL 39/2004";"01.04.2019";"du¿y przedsiêbiorca";"0219083";"22.19";"2 479 764,96";"471 155,34";"109 481,90";"obni¿ka lub zmniejszenie, powoduj¹ce obni¿enie podstawy opodatkowania lub wysokoœci podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"Burmistrz Miasta ¯arów";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"XR185/2007";"31.01.2020";"œrednie przedsiêbiorstwo";"0219083";"22.19";"422 308,16";"422 308,16";"98 188,37";"zwolnienie z podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"DOLNOŒL¥SKI URZ¥D SKARBOWY WE WROC£AWIU";"ustawa z dnia 15 lutego 1992 r. o podatku dochodowym od osób prawnych";"PL 39/2004";"01.06.2020";"du¿y przedsiêbiorca";"0219083";"22.19";"2 143 204,29";"407 208,82";"92 124,52";"obni¿ka lub zmniejszenie, powoduj¹ce obni¿enie podstawy opodatkowania lub wysokoœci podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"Burmistrz Miasta ¯arów";"ustawa z dnia 12 stycznia 1991 r. o podatkach i op³atach lokalnych";"XR185/2007";"01.02.2021";"œrednie przedsiêbiorstwo";"0219083";"22.19";"437 234,45";"437 234,45";"96 868,30";"zwolnienie z podatku";"regionalna pomoc inwestycyjna"
"BRIDGESTONE DIVERSIFIED PRODUCTS POLAND SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥";"1010000574";"DOLNOŒL¥SKI URZ¥D SKARBOWY WE WROC£AWIU";"ustawa z dnia 15 lutego 1992 r. o podatku dochodowym od osób prawnych";"PL 39/2004";"30.06.2021";"przedsiêbiorstwo nienale¿¹ce do kategorii okreœlonych kodem od 0 do 2";"0219083";"22.19";"3 059 955,61";"581 391,57";"128 603,69";"obni¿ka lub zmniejszenie, powoduj¹ce obni¿enie podstawy opodatkowania lub wysokoœci podatku";"regionalna pomoc inwestycyjna"
"FLIGHTBOX SPÓ£KA Z O.O.";"1010000611";"Polski Fundusz Rozwoju S.A.";"ustawa z dnia 4 lipca 2019 r. o systemie instytucji rozwoju";"SA.56996(2020/N)";"18.05.2020";"mikroprzedsiêbiorca";"0264039";"62.01";"171 000,00";"171 000,00";"37 463,85";"zaliczka zwrotna";"pomoc rekompensuj¹ca negatywne konsekwencje ekonomiczne zwi¹zane z COVID-19, udzielana w ramach limitu 800 000 euro na przedsiêbiorcê"
"FLIGHTBOX SP. Z O.O.";"1010000611";"Prezes Zak³adu Ubezpieczeñ Spo³ecznych";"ustawa z dnia 2 marca 2020 r. o szczególnych rozwi¹zaniach zwi¹zanych z zapobieganiem, przeciwdzia³aniem i zwalczaniem COVID-19, innych chorób zakaŸnych oraz wywo³anych nimi sytuacji kryzysowych";"SA.56922(2020/N)";"30.05.2020";"mikroprzedsiêbiorstwo";"0200000";"62.01";"17 143,35";"17 143,35";"3 852,18";"zwolnienie z op³aty";"pomoc rekompensuj¹ca negatywne konsekwencje ekonomiczne zwi¹zane z COVID-19, udzielana w ramach limitu 800 tys. euro / 1,8 mln euro na przedsiêbiorcê"
"FLIGHTBOX SP. Z O.O.";"1010000611";"Prezes Zak³adu Ubezpieczeñ Spo³ecznych";"ustawa z dnia 2 marca 2020 r. o szczególnych rozwi¹zaniach zwi¹zanych z zapobieganiem, przeciwdzia³aniem i zwalczaniem COVID-19, innych chorób zakaŸnych oraz wywo³anych nimi sytuacji kryzysowych";"SA.56922(2020/N)";"30.05.2020";"mikroprzedsiêbiorstwo";"0200000";"62.01";"18 716,65";"18 716,65";"4 205,71";"zwolnienie z op³aty";"pomoc rekompensuj¹ca negatywne konsekwencje ekonomiczne zwi¹zane z COVID-19, udzielana w ramach limitu 800 tys. euro / 1,8 mln euro na przedsiêbiorcê"
"INDUSTRIE MAURIZIO PERUZZO OVATEX SP. Z O.O.";"1010000640";"Polski Fundusz Rozwoju S.A.";"ustawa z dnia 4 lipca 2019 r. o systemie instytucji rozwoju";"SA.56996(2020/N)";"26.05.2020";"ma³y przedsiêbiorca";"0219011";"13.95";"1 433 621,00";"1 433 621,00";"320 004,69";"zaliczka zwrotna";"pomoc rekompensuj¹ca negatywne konsekwencje ekonomiczne zwi¹zane z COVID-19, udzielana w ramach limitu 800 000 euro na przedsiêbiorcê"
